event,horizon,target_ts,reason,bar_ts,age_seconds,p,bid,ask,spread,trade_p,contracts_last_hour,active_minutes_last_hour
KXNBAGAME-26FEB23SASDET,1h,1771887600,included,1771887600.0,0.0,0.525,0.52,0.53,0.010000000000000009,0.53,139659.0,60.0
KXNBAGAME-26FEB23SASDET,5m,1771890900,included,1771890900.0,0.0,0.525,0.52,0.53,0.010000000000000009,0.53,372406.0,60.0
KXNBAGAME-26FEB23SACMEM,24h,1771808400,included,1771808400.0,0.0,0.635,0.62,0.65,0.030000000000000027,0.65,3126.0,31.0
KXNBAGAME-26FEB23SACMEM,6h,1771873200,included,1771873200.0,0.0,0.58,0.57,0.59,0.020000000000000018,0.59,29533.0,58.0
KXNBAGAME-26FEB23SACMEM,1h,1771891200,included,1771891200.0,0.0,0.565,0.56,0.57,0.009999999999999898,0.57,154830.0,60.0
KXNBAGAME-26FEB23SACMEM,5m,1771894500,included,1771894500.0,0.0,0.575,0.57,0.58,0.010000000000000009,0.58,228879.0,60.0
KXNBAGAME-26FEB23UTAHOU,24h,1771813800,included,1771813800.0,0.0,0.875,0.87,0.88,0.010000000000000009,,4525.0,22.0
KXNBAGAME-26FEB23UTAHOU,6h,1771878600,included,1771878600.0,0.0,0.865,0.86,0.87,0.010000000000000009,0.87,54312.0,53.0
KXNBAGAME-26FEB23UTAHOU,1h,1771896600,included,1771896600.0,0.0,0.875,0.87,0.88,0.010000000000000009,0.88,61597.0,59.0
KXNBAGAME-26FEB23UTAHOU,5m,1771899900,included,1771899900.0,0.0,0.875,0.87,0.88,0.010000000000000009,0.88,124207.0,59.0
KXNBAGAME-26FEB24PHIIND,24h,1771891200,included,1771891200.0,0.0,0.245,0.23,0.26,0.03,,13630.0,34.0
KXNBAGAME-26FEB24PHIIND,6h,1771956000,included,1771956000.0,0.0,0.20500000000000002,0.2,0.21,0.009999999999999981,0.21,5361.0,50.0
KXNBAGAME-26FEB24PHIIND,1h,1771974000,included,1771974000.0,0.0,0.185,0.18,0.19,0.010000000000000009,0.19,45478.0,59.0
KXNBAGAME-26FEB24PHIIND,5m,1771977300,included,1771977300.0,0.0,0.185,0.18,0.19,0.010000000000000009,0.19,210844.0,60.0
KXNBAGAME-26FEB24DALBKN,24h,1771893000,included,1771892880.0,120.0,0.45999999999999996,0.45,0.47,0.019999999999999962,,525.0,8.0
KXNBAGAME-26FEB24DALBKN,6h,1771957800,included,1771957800.0,0.0,0.46499999999999997,0.46,0.47,0.009999999999999953,0.47,2352.0,34.0
KXNBAGAME-26FEB24DALBKN,1h,1771975800,included,1771975800.0,0.0,0.46499999999999997,0.46,0.47,0.009999999999999953,0.47,16867.0,47.0
